username,password,name,surname,age,nationality,language,bachelor,hobbies,interests,bio,preferences
amanda.long,XMeTPfSUX,Amanda,Long,20,spain,spanish,LLB,running,making friends,I like to focus more on people than technology. I have a passion for teaching.,interests
fiona.matthews,J8zmAWS25,Fiona,Matthews,18,brazil,portuguese,BDES,writing,going out or partying,Award-winning travel ninja. Pop culture enthusiast.,"hobbies, nationality, interests"
zoe.price,kkZQJVBuz,Zoe,Price,20,australia,english,BBABIR,surf,going out or partying,Originally from New York. I love golfing,"hobbies, nationality, interests"
benjamin.ward,DwQHEPjsh,Benjamin,Ward,18,china,mandarin,PPLE,travelling,networking,Professional food ninja. Music aficionado. Friend of animals everywhere,"language, nationality"
fiona.bennett,fFQ9a5yGx,Fiona,Bennett,20,brazil,portuguese,PPLEBDBA,photography,organising an event,Alcohol specialist. Lifelong writer. Beer ninja. Hipster-friendly student.,"language, interests, hobbies"
daniel.parker,VpmfEnuQe,Daniel,Parker,20,south africa,english,BBSS,singing,networking,Friend of animals everywhere. Hardcore internet enthusiast and avid reader.,"hobbies, interests"
john.lawson,TFjhBP8cs,John,Lawson,17,germany,german,BDBA,singing,networking,I am a sucker for gadgets,interests
olivia.murphy,hJF6aagbJ,Olivia,Murphy,19,spain,spanish,BBALLB,hiking,organising an event,I see video and web as a way to reach and inspire people.,"language, interests, age"
maria.watkins,nRRcHSeUP,Maria,Watkins,19,india,hindi,BDES,singing,networking,Unapologetic reader and proud communicator. Bacon and coffee everyday.,"age, interests, nationality"
samantha.goodwin,m6t5EnS5d,Samantha,Goodwin,21,australia,english,BBSS,cycling,networking,I love creating music,"language, interests, age"
billy.hill,FVFPQSaYv,Billy,Hill,18,france,french,BCDM,cinema,going out or partying,I love playing chess,"age, interests, nationality"
adeline.yost,ja8sKwns9nK,Adeline,Yost,20,united kingdom,english,BEC,volleyball,networking,I have a huge passion for food,interests
edward.carter,QStvcjDeC,Edward,Carter,19,india,hindi,PPLE,reading,going out or partying,Wannabe surfer,"interests, age"
john.martinez,NnwZWpbSE,John,Martinez,21,colombia,spanish,BBSS,reading,joining or creating a club,Wannabe surfer,"interests, age"
kirby.goldberg,tXw2xhGAx,Kirby,Goldberg,20,germany,german,BAS,cinema,networking,Unapologetic bacon evangelist. Problem solver. Analyst.,"interests, nationality, hobbies"
harvey.henry,qQaDtD6qF,Harvey,Henry,20,italy,italian,BDBA,surf,networking,Dreamer who loves tee shirts,"interests, nationality, hobbies"
mary.james,w3598ZQDm,Mary,James,20,united states,english,BBA,photography,networking,I never give up. I like French fries and Belgian waffles.,"age, language, hobbies"
aiden.kiehn,j94HnsKu4h,Aiden,Kiehn,21,belgium,french,BBA,photography,making friends,Originally from New York City. Sports and music enthusiast.,"hobbies, interests, bachelor"
samantha.watkins,wT6QahSEw,Samantha,Watkins,18,united kingdom,english,BCDM,football,going out or partying,Avid food geek. I love running,"age, language, hobbies"
liam.robinson,MEpe5CByV,Liam,Robinson,17,belgium,french,BEC,reading,networking,Wannabe surfer,"hobbies, interests, bachelor"
sara.fowler,cUrswrCgd,Sara,Fowler,18,india,hindi,BBSS,volleyball,organising an event,I drink a lot of beer and play a lot of pinball. Bacon geek.,"age, nationality"
gemma.dunn,yNDndNPp6,Gemma,Dunn,21,italy,italian,BEC,videogames,networking,Good communicator and coffee specialist. I also have a passion for music.,language
ashley.phillips,vX7kG3bCj,Ashley,Phillips,18,spain,spanish,BDBA,videogames,networking,Wannabe surfer,"age, nationality"
jake.watson,unQ5Y6Avs,Jake,Watson,17,united kingdom,english,BBA,painting,making friends,I like turtles,language
